lat,lon,predicted_heat_flow_mW_m2
8.0,96.75,57.082314
8.25,68.0,45.871315
8.25,68.25,48.12325
8.25,68.5,41.8812
8.25,68.75,37.47111
8.25,69.0,41.16854
8.25,69.25,32.703274
8.25,69.5,33.4523
8.25,69.75,45.18847
8.25,70.0,37.486736
8.25,70.25,38.774593
8.25,70.5,44.235634
8.25,70.75,50.016907
8.25,71.0,40.953495
8.25,71.25,33.251427
8.25,71.5,34.977978
8.25,71.75,45.306328
8.25,72.0,32.770054
8.25,72.25,41.696056
8.25,72.5,54.740856
8.25,72.75,34.81675
8.25,73.0,40.711502
8.25,73.25,32.41695
8.25,73.5,43.174732
8.25,73.75,41.06277
8.25,74.0,44.060905
8.25,74.25,79.848305
8.25,74.5,66.352875
8.25,74.75,52.079544
8.25,75.0,38.468
8.25,75.25,46.534977
8.25,75.5,46.590473
8.25,75.75,35.79372
8.25,76.0,38.803413
8.25,76.25,43.55954
8.25,76.5,38.095673
8.25,76.75,60.774822
8.25,77.0,34.16431
8.25,77.25,49.13323
8.25,77.5,61.070927
8.25,77.75,50.86758
8.25,78.0,44.90222
8.25,78.25,60.530724
8.25,78.5,65.04581
8.25,78.75,35.904964
8.25,79.0,61.771534
8.25,79.25,37.59326
8.25,79.5,40.279694
8.25,79.75,45.231663
8.25,80.0,69.30978
8.25,80.25,38.95836
8.25,80.5,40.36135
8.25,80.75,46.97796
8.25,81.0,67.257706
8.25,81.25,34.546173
8.25,81.5,46.538795
8.25,81.75,62.934467
8.25,82.0,53.73892
8.25,82.25,59.506725
8.25,82.5,48.217304
8.25,82.75,37.98181
8.25,83.0,56.40978
8.25,83.25,54.76517
8.25,83.5,45.91203
8.25,83.75,67.18161
8.25,84.0,41.151768
8.25,84.25,64.58544
8.25,84.5,54.087364
8.25,84.75,50.29979
8.25,85.0,45.473175
8.25,85.25,64.48343
8.25,85.5,73.24507
8.25,85.75,48.887104
8.25,86.0,51.36957
8.25,86.25,44.70512
8.25,86.5,47.395054
8.25,86.75,54.12367
8.25,87.0,56.35631
8.25,87.25,46.24752
8.25,87.5,42.768982
8.25,87.75,40.898426
8.25,88.0,58.99947
8.25,88.25,36.951187
8.25,88.5,41.90507
8.25,88.75,46.943413
8.25,89.0,57.914013
8.25,89.25,57.559383
8.25,89.5,63.20341
8.25,89.75,45.13563
8.25,90.0,54.364723
8.25,90.25,34.800247
8.25,90.5,68.06044
8.25,90.75,73.90057
8.25,91.0,56.33253
8.25,91.25,59.95668
8.25,91.5,44.354317
8.25,91.75,39.82223
8.25,92.0,59.069828
8.25,92.25,44.402843
8.25,92.5,58.18653
8.25,92.75,62.021812
8.25,93.0,39.989517
8.25,93.25,52.30651
8.25,93.5,44.01925
8.25,93.75,51.76118
8.25,94.0,63.58975
8.25,94.25,58.237225
8.25,94.5,48.952488
8.25,94.75,45.869076
8.25,95.0,45.77977
8.25,95.25,54.141766
8.25,95.5,66.714264
8.25,95.75,67.06012
8.25,96.0,64.91629
8.25,96.25,59.128887
8.25,96.5,63.138294
8.25,96.75,62.96932
8.5,68.0,45.56721
8.5,68.25,42.3113
8.5,68.5,42.410984
8.5,68.75,66.96985
8.5,69.0,35.866135
8.5,69.25,43.312107
8.5,69.5,42.38518
8.5,69.75,35.10747
8.5,70.0,35.73475
8.5,70.25,45.144176
8.5,70.5,45.055546
8.5,70.75,43.39797
8.5,71.0,36.984768
8.5,71.25,49.35228
8.5,71.5,61.594353
8.5,71.75,43.931248
8.5,72.0,66.42208
8.5,72.25,39.64842
8.5,72.5,55.283962
8.5,72.75,44.993324
8.5,73.0,47.5061
8.5,73.25,87.51028
8.5,73.5,43.107952
8.5,73.75,49.570065
8.5,74.0,42.158287
8.5,74.25,35.96525
8.5,74.5,39.777126
8.5,74.75,34.952755
8.5,75.0,30.779593
8.5,75.25,46.631783
8.5,75.5,44.736134
8.5,75.75,45.78373
8.5,76.0,41.28312
8.5,76.25,67.714134
8.5,76.5,43.33962
8.5,76.75,36.864147
8.5,77.0,46.092358
8.5,77.25,32.11225
8.5,77.5,48.8717
8.5,77.75,40.575184
8.5,78.0,44.049335
8.5,78.25,53.69092
8.5,78.5,46.72662
8.5,78.75,31.8058
8.5,79.0,45.02864
8.5,79.25,41.458553
8.5,79.5,49.57832
8.5,79.75,57.338627
8.5,80.0,39.07988
8.5,80.25,70.76849
8.5,80.5,41.930496
8.5,80.75,57.24099
8.5,81.0,59.276505
8.5,81.25,55.885742
8.5,81.5,40.98967
8.5,81.75,39.99115
8.5,82.0,50.71563
8.5,82.25,48.588272
8.5,82.5,65.666336
8.5,82.75,41.364685
8.5,83.0,49.66226
8.5,83.25,84.93272
8.5,83.5,38.64002
8.5,83.75,39.975277
8.5,84.0,65.17899
8.5,84.25,57.54381
8.5,84.5,45.23044
8.5,84.75,59.633076
8.5,85.0,43.749783
8.5,85.25,57.015564
8.5,85.5,39.883038
8.5,85.75,49.080288
8.5,86.0,38.89116
8.5,86.25,70.55167
8.5,86.5,45.926926
8.5,86.75,60.827007
8.5,87.0,53.586872
8.5,87.25,49.40324
8.5,87.5,47.942493
8.5,87.75,63.77545
8.5,88.0,39.594933
8.5,88.25,55.80852
8.5,88.5,52.384636
8.5,88.75,57.60592
8.5,89.0,55.77679
8.5,89.25,59.61285
8.5,89.5,34.69687
8.5,89.75,74.19452
8.5,90.0,54.181957
8.5,90.25,75.26911
8.5,90.5,36.41872
8.5,90.75,52.644405
8.5,91.0,56.797165
8.5,91.25,44.591526
8.5,91.5,58.684258
8.5,91.75,49.000732
8.5,92.0,60.967033
8.5,92.25,49.573124
8.5,92.5,47.806065
8.5,92.75,77.23902
8.5,93.0,48.901947
8.5,93.25,45.055492
8.5,93.5,72.76085
8.5,93.75,77.362465
8.5,94.0,62.413685
8.5,94.25,56.006542
8.5,94.5,51.17565
8.5,94.75,53.67766
8.5,95.0,42.35155
8.5,95.25,66.05294
8.5,95.5,41.9927
8.5,95.75,46.74956
8.5,96.0,47.383736
8.5,96.25,92.61129
8.5,96.5,39.86923
8.5,96.75,56.51176
8.75,68.0,34.885082
8.75,68.25,35.163136
8.75,68.5,43.901814
8.75,68.75,46.337646
8.75,69.0,43.722866
8.75,69.25,37.761665
8.75,69.5,44.67246
8.75,69.75,52.784985
8.75,70.0,58.56281
8.75,70.25,42.116795
8.75,70.5,40.638138
8.75,70.75,49.147556
8.75,71.0,37.931442
8.75,71.25,43.435215
8.75,71.5,47.015835
8.75,71.75,45.02941
8.75,72.0,91.257774
8.75,72.25,79.001755
8.75,72.5,38.976086
8.75,72.75,55.06344
8.75,73.0,45.432354
8.75,73.25,45.501995
8.75,73.5,33.47547
8.75,73.75,29.010048
8.75,74.0,45.43948
8.75,74.25,35.52535
8.75,74.5,33.604023
8.75,74.75,50.11188
8.75,75.0,61.34785
8.75,75.25,54.330975
8.75,75.5,54.61585
8.75,75.75,51.214962
8.75,76.0,38.498314
8.75,76.25,50.81159
8.75,76.5,35.145546
8.75,76.75,54.61227
8.75,77.0,40.41507
8.75,77.25,60.68097
8.75,77.5,55.9351
8.75,77.75,57.392414
8.75,78.0,66.54897
8.75,78.25,39.91629
8.75,78.5,51.862297
8.75,78.75,37.425068
8.75,79.0,46.85459
8.75,79.25,33.854168
8.75,79.5,50.60509
8.75,79.75,40.867676
8.75,80.0,64.36435
8.75,80.25,80.78035
8.75,80.5,74.645134
8.75,80.75,68.91487
8.75,81.0,45.57967
8.75,81.25,67.5874
8.75,81.5,54.235416
8.75,81.75,49.900764
8.75,82.0,49.167095
8.75,82.25,37.995052
8.75,82.5,37.692028
8.75,82.75,53.858143
8.75,83.0,39.642975
8.75,83.25,61.95918
8.75,83.5,52.517773
8.75,83.75,59.382633
8.75,84.0,67.25304
8.75,84.25,60.40661
8.75,84.5,58.52268
8.75,84.75,72.98465
8.75,85.0,40.37591
8.75,85.25,54.371445
8.75,85.5,43.597385
8.75,85.75,47.285618
8.75,86.0,42.80222
8.75,86.25,66.93506
8.75,86.5,61.79241
8.75,86.75,32.922794
8.75,87.0,54.238346
8.75,87.25,53.66686
8.75,87.5,60.63328
8.75,87.75,72.01863
8.75,88.0,49.926495
8.75,88.25,60.46085
8.75,88.5,55.779247
8.75,88.75,72.14372
8.75,89.0,46.17346
8.75,89.25,41.172676
8.75,89.5,46.771824
8.75,89.75,40.88038
8.75,90.0,45.679993
8.75,90.25,55.62018
8.75,90.5,41.833515
8.75,90.75,50.939793
8.75,91.0,58.51987
8.75,91.25,56.376057
8.75,91.5,84.799286
8.75,91.75,47.797844
8.75,92.0,43.848476
8.75,92.25,71.04878
8.75,92.5,41.952316
8.75,92.75,54.1742
8.75,93.0,48.66795
8.75,93.25,54.915535
8.75,93.5,45.799828
8.75,93.75,76.055504
8.75,94.0,45.851955
8.75,94.25,50.94882
8.75,94.5,56.925587
8.75,94.75,67.48684
8.75,95.0,67.2021
8.75,95.25,81.916534
8.75,95.5,52.54384
8.75,95.75,36.296844
8.75,96.0,79.62224
8.75,96.25,59.49873
8.75,96.5,81.15511
8.75,96.75,50.968517
9.0,68.0,34.403973
9.0,68.25,42.360836
9.0,68.5,62.92677
9.0,68.75,36.106026
9.0,69.0,45.319088
9.0,69.25,41.918194
9.0,69.5,39.760513
9.0,69.75,44.915066
9.0,70.0,36.9264
9.0,70.25,55.119423
9.0,70.5,38.3861
9.0,70.75,37.07374
9.0,71.0,44.287483
9.0,71.25,37.918392
9.0,71.5,29.396482
9.0,71.75,57.02923
9.0,72.0,42.28546
9.0,72.25,45.004654
9.0,72.5,40.43277
9.0,72.75,34.965267
9.0,73.0,38.416256
9.0,73.25,57.73188
9.0,73.5,59.50127
9.0,73.75,45.99811
9.0,74.0,46.774956
9.0,74.25,70.12355
9.0,74.5,47.53153
9.0,74.75,42.45021
9.0,75.0,36.568336
9.0,75.25,60.713734
9.0,75.5,39.044403
9.0,75.75,37.159637
9.0,76.0,58.06824
9.0,76.25,39.124027
9.0,76.5,41.85994
9.0,76.75,48.84553
9.0,77.0,40.616737
9.0,77.25,58.262608
9.0,77.5,54.959747
9.0,77.75,41.49446
9.0,78.0,46.731697
9.0,78.25,45.93173
9.0,78.5,46.084442
9.0,78.75,57.43182
9.0,79.0,38.38425
9.0,79.25,50.296783
9.0,79.5,53.819622
9.0,79.75,34.073162
9.0,80.0,41.779026
9.0,80.25,57.31143
9.0,80.5,40.122543
9.0,80.75,49.9595
9.0,81.0,41.93778
9.0,81.25,44.62321
9.0,81.5,70.97438
9.0,81.75,69.76482
9.0,82.0,61.692913
9.0,82.25,42.891434
9.0,82.5,65.75191
9.0,82.75,41.79942
9.0,83.0,48.256886
9.0,83.25,48.87707
9.0,83.5,42.458195
9.0,83.75,61.97215
9.0,84.0,61.775017
9.0,84.25,51.435867
9.0,84.5,52.64447
9.0,84.75,37.515213
9.0,85.0,53.745506
9.0,85.25,34.419247
9.0,85.5,60.667736
9.0,85.75,48.49832
9.0,86.0,64.65419
9.0,86.25,43.32999
9.0,86.5,57.00546
9.0,86.75,57.423782
9.0,87.0,43.696285
9.0,87.25,42.75559
9.0,87.5,65.76926
9.0,87.75,42.144882
9.0,88.0,43.84231
9.0,88.25,36.018803
9.0,88.5,44.54175
9.0,88.75,49.008137
9.0,89.0,53.89455
9.0,89.25,55.810024
9.0,89.5,48.712166
9.0,89.75,49.65372
9.0,90.0,42.009785
9.0,90.25,41.72169
9.0,90.5,83.562805
9.0,90.75,54.052387
9.0,91.0,33.08418
9.0,91.25,48.65382
9.0,91.5,50.90867
9.0,91.75,43.47959
9.0,92.0,44.943413
9.0,92.25,66.78329
9.0,92.5,39.95647
9.0,92.75,45.898975
9.0,93.0,49.50365
9.0,93.25,59.511364
9.0,93.5,53.09196
9.0,93.75,43.1791
9.0,94.0,69.05069
9.0,94.25,60.63708
9.0,94.5,56.588818
9.0,94.75,46.097584
9.0,95.0,50.459663
9.0,95.25,43.020176
9.0,95.5,66.63385
9.0,95.75,45.077007
9.0,96.0,45.134254
9.0,96.25,68.78183
9.0,96.5,61.680042
9.0,96.75,50.214664
9.25,68.0,33.027782
9.25,68.25,46.11071
9.25,68.5,38.541508
9.25,68.75,64.57888
9.25,69.0,51.790127
9.25,69.25,41.170303
9.25,69.5,37.571743
9.25,69.75,35.59586
9.25,70.0,60.46462
9.25,70.25,42.01242
9.25,70.5,36.11312
9.25,70.75,34.850998
9.25,71.0,60.359406
9.25,71.25,38.20218
9.25,71.5,58.511475
9.25,71.75,42.112247
9.25,72.0,42.987766
9.25,72.25,33.807575
9.25,72.5,51.64892
9.25,72.75,69.74162
9.25,73.0,52.056595
9.25,73.25,52.15412
9.25,73.5,31.90822
9.25,73.75,31.08973
9.25,74.0,56.937496
9.25,74.25,50.76475
9.25,74.5,44.153862
9.25,74.75,43.661633
9.25,75.0,37.113125
9.25,75.25,55.584423
9.25,75.5,51.664875
9.25,75.75,44.291412
9.25,76.0,42.4919
9.25,76.25,47.45483
9.25,76.5,40.83363
9.25,76.75,48.733913
9.25,77.0,50.853577
9.25,77.25,38.218456
9.25,77.5,56.285282
9.25,77.75,46.26575
9.25,78.0,45.258507
9.25,78.25,47.92706
9.25,78.5,50.510345
9.25,78.75,44.452053
9.25,79.0,62.50988
9.25,79.25,58.145004
9.25,79.5,65.9524
9.25,79.75,53.448547
9.25,80.0,56.383305
9.25,80.25,62.794388
9.25,80.5,40.515785
9.25,80.75,68.900894
9.25,81.0,66.24765
9.25,81.25,42.319183
9.25,81.5,40.95308
9.25,81.75,68.22884
9.25,82.0,59.74801
9.25,82.25,52.016705
9.25,82.5,42.538105
9.25,82.75,61.058765
9.25,83.0,40.8744
9.25,83.25,54.537468
9.25,83.5,67.37833
9.25,83.75,42.63954
9.25,84.0,41.241573
9.25,84.25,55.918877
9.25,84.5,41.92598
9.25,84.75,51.28504
9.25,85.0,53.713406
9.25,85.25,41.296112
9.25,85.5,51.213276
9.25,85.75,54.793926
9.25,86.0,53.162895
9.25,86.25,59.453564
9.25,86.5,42.746193
9.25,86.75,51.427475
9.25,87.0,44.49257
9.25,87.25,59.19777
9.25,87.5,75.78156
9.25,87.75,46.39925
9.25,88.0,50.38252
9.25,88.25,45.99575
9.25,88.5,46.973072
9.25,88.75,63.064354
9.25,89.0,45.217052
9.25,89.25,44.807728
9.25,89.5,77.23462
9.25,89.75,52.00656
9.25,90.0,68.09563
9.25,90.25,42.24437
9.25,90.5,39.874615
9.25,90.75,41.691727
9.25,91.0,74.97417
9.25,91.25,36.06562
9.25,91.5,49.44356
9.25,91.75,48.632526
9.25,92.0,53.22887
9.25,92.25,47.240017
9.25,92.5,49.667328
9.25,92.75,59.950638
9.25,93.0,60.329426
9.25,93.25,47.97224
9.25,93.5,54.17113
9.25,93.75,82.472885
9.25,94.0,46.413765
9.25,94.25,52.448734
9.25,94.5,54.70241
9.25,94.75,46.09499
9.25,95.0,49.05552
9.25,95.25,51.907127
9.25,95.5,57.62692
9.25,95.75,49.484554
9.25,96.0,43.241238
9.25,96.25,66.317245
9.25,96.5,46.735855
9.25,96.75,73.175766
9.5,68.0,56.326077
9.5,68.25,41.405342
9.5,68.5,68.58392
9.5,68.75,30.267576
9.5,69.0,44.327557
9.5,69.25,37.139008
9.5,69.5,45.641335
9.5,69.75,34.668217
9.5,70.0,52.192883
9.5,70.25,54.90264
9.5,70.5,41.02936
9.5,70.75,50.61868
9.5,71.0,48.849724
9.5,71.25,42.263824
9.5,71.5,46.89412
9.5,71.75,34.865826
9.5,72.0,34.253525
9.5,72.25,43.6751
9.5,72.5,75.91275
9.5,72.75,36.08551
9.5,73.0,65.57354
9.5,73.25,50.967735
9.5,73.5,39.686924
9.5,73.75,40.61197
9.5,74.0,54.711224
9.5,74.25,41.989193
9.5,74.5,41.364212
9.5,74.75,43.93044
9.5,75.0,51.522186
9.5,75.25,37.513363
9.5,75.5,57.09272
9.5,75.75,38.133335
9.5,76.0,45.289318
9.5,76.25,65.0609
9.5,76.5,38.91587
9.5,76.75,60.305298
9.5,77.0,53.519554
9.5,77.25,44.18915
9.5,77.5,37.456593
9.5,77.75,61.002956
9.5,78.0,54.21651
9.5,78.25,58.937965
9.5,78.5,38.0097
9.5,78.75,66.15466
9.5,79.0,56.749195
9.5,79.25,48.561184
9.5,79.5,40.41405
9.5,79.75,47.225998
9.5,80.0,47.440914
9.5,80.25,44.407738
9.5,80.5,41.873055
9.5,80.75,47.76292
9.5,81.0,50.17957
9.5,81.25,41.396225
9.5,81.5,50.481834
9.5,81.75,63.87724
9.5,82.0,34.741116
9.5,82.25,51.7677
9.5,82.5,60.049133
9.5,82.75,39.59098
9.5,83.0,45.212593
9.5,83.25,49.044712
9.5,83.5,61.689373
9.5,83.75,35.722256
9.5,84.0,71.178734
9.5,84.25,43.03787
9.5,84.5,46.846996
9.5,84.75,54.441742
9.5,85.0,38.283844
9.5,85.25,57.42706
9.5,85.5,49.289787
9.5,85.75,52.928226
9.5,86.0,41.99369
9.5,86.25,44.09266
9.5,86.5,93.82844
9.5,86.75,57.373978
9.5,87.0,45.619682
9.5,87.25,67.52089
9.5,87.5,42.325382
9.5,87.75,57.031006
9.5,88.0,50.515396
9.5,88.25,45.64497
9.5,88.5,49.57551
9.5,88.75,55.63233
9.5,89.0,39.497036
9.5,89.25,66.57849
9.5,89.5,65.88132
9.5,89.75,53.40122
9.5,90.0,40.037365
9.5,90.25,47.92819
9.5,90.5,51.432552
9.5,90.75,43.95759
9.5,91.0,57.953804
9.5,91.25,43.852146
9.5,91.5,49.79934
9.5,91.75,51.804535
9.5,92.0,77.15053
9.5,92.25,63.517506
9.5,92.5,52.408
9.5,92.75,52.448483
9.5,93.0,65.615234
9.5,93.25,42.34266
9.5,93.5,48.973198
9.5,93.75,49.24564
9.5,94.0,39.019814
9.5,94.25,41.525543
9.5,94.5,70.66399
9.5,94.75,52.3764
9.5,95.0,42.756668
9.5,95.25,39.79685
9.5,95.5,35.68679
9.5,95.75,58.29536
9.5,96.0,48.00957
9.5,96.25,47.582504
9.5,96.5,60.743076
9.5,96.75,53.806908
9.75,68.0,42.749016
9.75,68.25,37.989613
9.75,68.5,38.458084
9.75,68.75,47.111122
9.75,69.0,53.84565
9.75,69.25,42.284313
9.75,69.5,46.589108
9.75,69.75,66.60689
9.75,70.0,33.223415
9.75,70.25,38.10196
9.75,70.5,57.858086
9.75,70.75,42.777233
9.75,71.0,31.555677
9.75,71.25,38.218956
9.75,71.5,33.479572
9.75,71.75,51.563465
9.75,72.0,44.6235
9.75,72.25,48.44763
9.75,72.5,53.94241
9.75,72.75,39.789375
9.75,73.0,42.51098
9.75,73.25,47.501675
9.75,73.5,38.420506
9.75,73.75,38.31165
9.75,74.0,35.320858
9.75,74.25,58.77019
9.75,74.5,46.097324
9.75,74.75,54.442307
9.75,75.0,49.310925
9.75,75.25,53.839558
9.75,75.5,41.268543
9.75,75.75,30.97376
9.75,76.0,39.0472
9.75,76.25,54.788906
9.75,76.5,39.696182
9.75,76.75,45.63422
9.75,77.0,62.051548
9.75,77.25,34.132168
9.75,77.5,55.62013
9.75,77.75,71.11418
9.75,78.0,43.58214
9.75,78.25,38.377094
9.75,78.5,59.269993
9.75,78.75,45.877144
9.75,79.0,70.79267
9.75,79.25,42.487972
9.75,79.5,61.396065
9.75,79.75,44.716923
9.75,80.0,37.84435
9.75,80.25,43.089096
9.75,80.5,43.997726
9.75,80.75,46.67228
9.75,81.0,33.112587
9.75,81.25,39.701427
9.75,81.5,33.91504
9.75,81.75,43.840927
9.75,82.0,48.215122
9.75,82.25,53.44632
9.75,82.5,56.024063
9.75,82.75,52.717915
9.75,83.0,37.792442
9.75,83.25,65.25303
9.75,83.5,91.451515
9.75,83.75,55.5367
9.75,84.0,49.795753
9.75,84.25,37.474712
9.75,84.5,40.417747
9.75,84.75,68.80306
9.75,85.0,84.294785
9.75,85.25,49.44602
9.75,85.5,47.207565
9.75,85.75,52.74176
9.75,86.0,71.32924
9.75,86.25,53.900917
9.75,86.5,41.159374
9.75,86.75,44.2209
9.75,87.0,47.69585
9.75,87.25,42.15029
9.75,87.5,87.38259
9.75,87.75,70.58744
9.75,88.0,60.88916
9.75,88.25,75.90699
9.75,88.5,38.2418
9.75,88.75,72.84794
9.75,89.0,52.26245
9.75,89.25,69.75784
9.75,89.5,32.260254
9.75,89.75,40.857857
9.75,90.0,46.240047
9.75,90.25,49.552036
9.75,90.5,51.683098
9.75,90.75,62.190388
9.75,91.0,49.437386
9.75,91.25,64.05638
9.75,91.5,51.16716
9.75,91.75,58.12193
9.75,92.0,62.304905
9.75,92.25,52.084457
9.75,92.5,41.01217
9.75,92.75,49.82912
9.75,93.0,61.529514
9.75,93.25,46.474678
9.75,93.5,50.30457
9.75,93.75,44.330776
9.75,94.0,59.48599
9.75,94.25,60.182453
9.75,94.5,67.79393
9.75,94.75,57.437977
9.75,95.0,88.27147
9.75,95.25,53.17966
9.75,95.5,65.478004
9.75,95.75,47.245842
9.75,96.0,49.799805
9.75,96.25,46.69145
9.75,96.5,47.698
9.75,96.75,58.093384
10.0,68.0,37.999775
10.0,68.25,35.53459
10.0,68.5,43.119446
10.0,68.75,64.139175
10.0,69.0,38.51907
10.0,69.25,56.121216
10.0,69.5,46.210194
10.0,69.75,41.47835
10.0,70.0,39.466225
10.0,70.25,36.05563
10.0,70.5,38.23112
10.0,70.75,45.55615
10.0,71.0,32.217327
10.0,71.25,83.474365
10.0,71.5,47.63485
10.0,71.75,47.698833
10.0,72.0,58.610737
10.0,72.25,46.70499
10.0,72.5,31.7753
10.0,72.75,44.242928
10.0,73.0,50.297543
10.0,73.25,72.44938
10.0,73.5,71.13128
10.0,73.75,58.120846
10.0,74.0,44.187134
10.0,74.25,52.6854
10.0,74.5,38.41234
10.0,74.75,58.91733
10.0,75.0,48.309696
10.0,75.25,89.31333
10.0,75.5,37.582497
10.0,75.75,47.8004
10.0,76.0,65.821846
10.0,76.25,61.3427
10.0,76.5,42.7644
10.0,76.75,48.793205
10.0,77.0,60.973057
10.0,77.25,44.838768
10.0,77.5,50.827774
10.0,77.75,48.155064
10.0,78.0,44.25227
10.0,78.25,45.14458
10.0,78.5,69.13454
10.0,78.75,61.461956
10.0,79.0,42.972984
10.0,79.25,36.98107
10.0,79.5,37.261837
10.0,79.75,68.8963
10.0,80.0,49.779167
10.0,80.25,30.58799
10.0,80.5,62.642345
10.0,80.75,36.46202
10.0,81.0,51.268085
10.0,81.25,42.518078
10.0,81.5,44.35614
10.0,81.75,46.19363
10.0,82.0,38.15112
10.0,82.25,57.716328
10.0,82.5,45.90875
10.0,82.75,40.844654
10.0,83.0,73.789604
10.0,83.25,39.79048
10.0,83.5,45.838577
10.0,83.75,42.262676
10.0,84.0,70.171524
10.0,84.25,48.28564
10.0,84.5,38.688168
10.0,84.75,43.830925
10.0,85.0,35.72933
10.0,85.25,44.25031
10.0,85.5,42.197468
10.0,85.75,62.31175
10.0,86.0,48.187084
10.0,86.25,46.43001
10.0,86.5,42.151966
10.0,86.75,66.46527
10.0,87.0,56.044712
10.0,87.25,52.225243
10.0,87.5,55.66574
10.0,87.75,48.294838
10.0,88.0,51.137585
10.0,88.25,45.978523
10.0,88.5,50.830276
10.0,88.75,59.563084
10.0,89.0,52.807304
10.0,89.25,49.674206
10.0,89.5,44.97332
10.0,89.75,63.138485
10.0,90.0,55.958828
10.0,90.25,55.87171
10.0,90.5,46.27915
10.0,90.75,69.75147
10.0,91.0,40.18705
10.0,91.25,48.445602
10.0,91.5,46.575027
10.0,91.75,46.97865
10.0,92.0,58.909534
10.0,92.25,66.36801
10.0,92.5,58.803608
10.0,92.75,72.40076
10.0,93.0,65.20161
10.0,93.25,61.496502
10.0,93.5,43.60027
10.0,93.75,57.646008
10.0,94.0,54.13989
10.0,94.25,51.233406
10.0,94.5,55.18848
10.0,94.75,48.219227
10.0,95.0,68.98735
10.0,95.25,83.71526
10.0,95.5,41.827827
10.0,95.75,59.55482
10.0,96.0,41.499783
10.0,96.25,58.845573
10.0,96.5,54.53643
10.0,96.75,49.27065
10.25,68.0,32.85409
10.25,68.25,41.121517
10.25,68.5,47.577263
10.25,68.75,65.144875
10.25,69.0,48.551926
10.25,69.25,48.08989
10.25,69.5,54.828136
10.25,69.75,36.10754
10.25,70.0,38.573246
10.25,70.25,35.21721
10.25,70.5,52.419323
10.25,70.75,46.54264
10.25,71.0,42.42794
10.25,71.25,47.65736
10.25,71.5,37.525555
10.25,71.75,49.654694
10.25,72.0,49.50513
10.25,72.25,55.701168
10.25,72.5,72.50589
10.25,72.75,43.738564
10.25,73.0,33.492985
10.25,73.25,40.037155
10.25,73.5,56.024384
10.25,73.75,49.50878
10.25,74.0,58.056046
10.25,74.25,39.894447
10.25,74.5,55.402058
10.25,74.75,52.55984
10.25,75.0,55.071987
